
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step: 197 | fit: 197.00000 | delta: 1.0e+00 | secs: 6.09029
step: 198 | fit: 198.00000 | delta: 1.0e+00 | secs: 6.03919
step: 199 | fit: 199.00000 | delta: 1.0e+00 | secs: 6.03165
step: 200 | fit: 200.00000 | delta: 1.0e+00 | secs: 6.05825
step: 201 | fit: 201.00000 | delta: 1.0e+00 | secs: 6.22171
step: 202 | fit: 202.00000 | delta: 1.0e+00 | secs: 6.15172
step: 203 | fit: 203.00000 | delta: 1.0e+00 | secs: 6.16630
step: 204 | fit: 204.00000 | delta: 1.0e+00 | secs: 6.12741
step: 205 | fit: 205.00000 | delta: 1.0e+00 | secs: 6.49304
step: 206 | fit: 206.00000 | delta: 1.0e+00 | secs: 6.07221
step: 207 | fit: 207.00000 | delta: 1.0e+00 | secs: 6.07564
step: 208 | fit: 208.00000 | delta: 1.0e+00 | secs: 6.05234
step: 209 | fit: 209.00000 | delta: 1.0e+00 | secs: 6.07805
step: 210 | fit: 210.00000 | delta: 1.0e+00 | secs: 6.05349
step: 211 | fit: 211.00000 | delta: 1.0e+00 | secs: 6.06531
step: 212 | fit: 212.00000 | delta: 1.0e+00 | secs: 6.06382
step: 213 | fit: 213.00000 | delta: 1.0e+00 | secs: 6.09161
step: 214 | fit: 214.00000 | delta: 1.0e+00 | secs: 6.10192
step: 215 | fit: 215.00000 | delta: 1.0e+00 | secs: 6.08627
step: 216 | fit: 216.00000 | delta: 1.0e+00 | secs: 6.15566
step: 217 | fit: 217.00000 | delta: 1.0e+00 | secs: 6.08153
step: 218 | fit: 218.00000 | delta: 1.0e+00 | secs: 6.09871
step: 219 | fit: 219.00000 | delta: 1.0e+00 | secs: 6.12036
step: 220 | fit: 220.00000 | delta: 1.0e+00 | secs: 6.12066
step: 221 | fit: 221.00000 | delta: 1.0e+00 | secs: 6.15664
step: 222 | fit: 222.00000 | delta: 1.0e+00 | secs: 6.11721
step: 223 | fit: 223.00000 | delta: 1.0e+00 | secs: 6.07469
step: 224 | fit: 224.00000 | delta: 1.0e+00 | secs: 6.07975
step: 225 | fit: 225.00000 | delta: 1.0e+00 | secs: 6.10572
step: 226 | fit: 226.00000 | delta: 1.0e+00 | secs: 6.08186
step: 227 | fit: 227.00000 | delta: 1.0e+00 | secs: 6.12946
step: 228 | fit: 228.00000 | delta: 1.0e+00 | secs: 6.14341
step: 229 | fit: 229.00000 | delta: 1.0e+00 | secs: 6.16823
step: 230 | fit: 230.00000 | delta: 1.0e+00 | secs: 6.16513
step: 231 | fit: 231.00000 | delta: 1.0e+00 | secs: 6.18311
step: 232 | fit: 232.00000 | delta: 1.0e+00 | secs: 6.58339
step: 233 | fit: 233.00000 | delta: 1.0e+00 | secs: 6.12419
step: 234 | fit: 234.00000 | delta: 1.0e+00 | secs: 6.11115
step: 235 | fit: 235.00000 | delta: 1.0e+00 | secs: 6.18169
step: 236 | fit: 236.00000 | delta: 1.0e+00 | secs: 6.11828
step: 237 | fit: 237.00000 | delta: 1.0e+00 | secs: 6.11219
step: 238 | fit: 238.00000 | delta: 1.0e+00 | secs: 6.08703
step: 239 | fit: 239.00000 | delta: 1.0e+00 | secs: 6.25622
step: 240 | fit: 240.00000 | delta: 1.0e+00 | secs: 6.13866
step: 241 | fit: 241.00000 | delta: 1.0e+00 | secs: 6.08164
step: 242 | fit: 242.00000 | delta: 1.0e+00 | secs: 6.06213
step: 243 | fit: 243.00000 | delta: 1.0e+00 | secs: 6.07491
step: 244 | fit: 244.00000 | delta: 1.0e+00 | secs: 6.05631
step: 245 | fit: 245.00000 | delta: 1.0e+00 | secs: 6.07009
step: 246 | fit: 246.00000 | delta: 1.0e+00 | secs: 6.04826
step: 247 | fit: 247.00000 | delta: 1.0e+00 | secs: 6.03030
step: 248 | fit: 248.00000 | delta: 1.0e+00 | secs: 6.03310
step: 249 | fit: 249.00000 | delta: 1.0e+00 | secs: 6.03548
step: 250 | fit: 250.00000 | delta: 1.0e+00 | secs: 6.04084
step: 251 | fit: 251.00000 | delta: 1.0e+00 | secs: 6.04250
step: 252 | fit: 252.00000 | delta: 1.0e+00 | secs: 6.03909
step: 253 | fit: 253.00000 | delta: 1.0e+00 | secs: 6.07241
step: 254 | fit: 254.00000 | delta: 1.0e+00 | secs: 6.04223
step: 255 | fit: 255.00000 | delta: 1.0e+00 | secs: 6.04949
step: 256 | fit: 256.00000 | delta: 1.0e+00 | secs: 6.05190
step: 257 | fit: 257.00000 | delta: 1.0e+00 | secs: 6.07423
step: 258 | fit: 258.00000 | delta: 1.0e+00 | secs: 6.06998
step: 259 | fit: 259.00000 | delta: 1.0e+00 | secs: 6.05638
step: 260 | fit: 260.00000 | delta: 1.0e+00 | secs: 6.04556
step: 261 | fit: 261.00000 | delta: 1.0e+00 | secs: 6.10592
step: 262 | fit: 262.00000 | delta: 1.0e+00 | secs: 6.04611
step: 263 | fit: 263.00000 | delta: 1.0e+00 | secs: 6.10657
step: 264 | fit: 264.00000 | delta: 1.0e+00 | secs: 6.11144
step: 265 | fit: 265.00000 | delta: 1.0e+00 | secs: 6.15682
step: 266 | fit: 266.00000 | delta: 1.0e+00 | secs: 6.19858
step: 267 | fit: 267.00000 | delta: 1.0e+00 | secs: 6.22630
step: 268 | fit: 268.00000 | delta: 1.0e+00 | secs: 6.19438
step: 269 | fit: 269.00000 | delta: 1.0e+00 | secs: 6.16523
step: 270 | fit: 270.00000 | delta: 1.0e+00 | secs: 6.20486
step: 271 | fit: 271.00000 | delta: 1.0e+00 | secs: 6.17155
step: 272 | fit: 272.00000 | delta: 1.0e+00 | secs: 6.16802
step: 273 | fit: 273.00000 | delta: 1.0e+00 | secs: 6.16949
step: 274 | fit: 274.00000 | delta: 1.0e+00 | secs: 6.15902
step: 275 | fit: 275.00000 | delta: 1.0e+00 | secs: 6.16655
step: 276 | fit: 276.00000 | delta: 1.0e+00 | secs: 6.17817
step: 277 | fit: 277.00000 | delta: 1.0e+00 | secs: 6.21276
step: 278 | fit: 278.00000 | delta: 1.0e+00 | secs: 6.18562
step: 279 | fit: 279.00000 | delta: 1.0e+00 | secs: 6.18931
step: 280 | fit: 280.00000 | delta: 1.0e+00 | secs: 6.18823
step: 281 | fit: 281.00000 | delta: 1.0e+00 | secs: 6.14564
step: 282 | fit: 282.00000 | delta: 1.0e+00 | secs: 6.57052
step: 283 | fit: 283.00000 | delta: 1.0e+00 | secs: 6.11356
step: 284 | fit: 284.00000 | delta: 1.0e+00 | secs: 6.11807
step: 285 | fit: 285.00000 | delta: 1.0e+00 | secs: 6.10577
step: 286 | fit: 286.00000 | delta: 1.0e+00 | secs: 6.12651
step: 287 | fit: 287.00000 | delta: 1.0e+00 | secs: 6.12583
step: 288 | fit: 288.00000 | delta: 1.0e+00 | secs: 6.12751
step: 289 | fit: 289.00000 | delta: 1.0e+00 | secs: 6.13141
step: 290 | fit: 290.00000 | delta: 1.0e+00 | secs: 6.12784
step: 291 | fit: 291.00000 | delta: 1.0e+00 | secs: 6.12299
step: 292 | fit: 292.00000 | delta: 1.0e+00 | secs: 6.11408
step: 293 | fit: 293.00000 | delta: 1.0e+00 | secs: 6.11336
step: 294 | fit: 294.00000 | delta: 1.0e+00 | secs: 6.11472
step: 295 | fit: 295.00000 | delta: 1.0e+00 | secs: 6.11744
step: 296 | fit: 296.00000 | delta: 1.0e+00 | secs: 6.12290
step: 297 | fit: 297.00000 | delta: 1.0e+00 | secs: 6.11441
step: 298 | fit: 298.00000 | delta: 1.0e+00 | secs: 6.08894
step: 299 | fit: 299.00000 | delta: 1.0e+00 | secs: 6.14235

--------------------------Begin to evaluate the mode-------------------------
/home/kyzhou/anaconda3/lib/python3.6/site-packages/sklearn/ensemble/weight_boosting.py:29: DeprecationWarning: numpy.core.umath_tests is an internal NumPy module and should not be imported. It will be removed in a future NumPy release.
  from numpy.core.umath_tests import inner1d
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [05:40<51:01, 340.12s/it] 20%|██        | 2/10 [11:19<45:18, 339.82s/it] 30%|███       | 3/10 [16:58<39:36, 339.50s/it] 40%|████      | 4/10 [22:36<33:54, 339.07s/it] 50%|█████     | 5/10 [28:15<28:15, 339.11s/it] 60%|██████    | 6/10 [33:55<22:37, 339.34s/it] 70%|███████   | 7/10 [39:34<16:58, 339.49s/it] 80%|████████  | 8/10 [45:14<11:18, 339.37s/it] 90%|█████████ | 9/10 [50:52<05:39, 339.23s/it]100%|██████████| 10/10 [56:33<00:00, 339.47s/it]100%|██████████| 10/10 [56:33<00:00, 339.30s/it]
-------------------------------cross_validate-------------------------------
P-value:0.6278±0.0020	R-value:0.6178±0.0017	F1-score:0.6153±0.0018
-------------------------------predict-------------------------------
P-value:0.4767±0.0029	R-value:0.4826±0.0020	F1-score:0.4556±0.0023
Paramater:Maxiterator 300

